Organisation Name,Address 1,Address 2,Address 3,Address 4,City,County,Post Code,Country,Website,Constitution,Sector,Type
Museum of Fulham Palace,Fulham Palace,Bishop's Avenue,,,London,,SW6 6EA,England,,Charity & Trusts,Museum,Independent
The Kings's Royal Hussars (14th/20th Kings Hussars),Fulwood Barracks,,,,Preston,Lancashire,PR2 8AA,England,,Charity & Trusts,Museum,Independent
Florence Nightingale Museum,Gassiot House,St Thomas Hospital,Lambeth,,London,,SE1 7EW,England,,Charity & Trusts,Museum,Independent
Geevor Tin Mine,Geevor Tin Mine,Pendeen,,,Penzance,Cornwall,TR19 7EW,England,www.geevor.com,Charity & Trusts,Museum,Independent
Bancroft Mill Engine Trust,Gillians Lane,,,,Colne,Lancashire,BB8 5QR,England,,Charity & Trusts,Museum,Independent
Mersey Neurological Trust,Glaxo Neurological Centre,Norton Street,,,Liverpool,Merseyside,L3 8LR,England,,Charity & Trusts,Museum,Independent
Witney & District Museum,Gloucester Court Mews,High Street,,,Witney,Oxfordshire,OX28 6JF,England,http://www.witney.net/witney-and-district-museum.htm,Charity & Trusts,Museum,Independent
Crawley Museum,Goffs Park House,Old Horsham Road,Southgate,,Crawley,West Sussex,RH11 8PE,England,,Charity & Trusts,Museum,Independent
Tenbury & District Museum,Goff's School,Cross Street,,,Tenbury Wells,Worcestershire,DY14 9JL,England,www.tenburymuseum.co.uk,Charity & Trusts,Museum,Independent
Gold Hill Museum & Gardens,Gold Hill,,,,Shaftesbury,Dorset,SP7 8JW,England,http://www.goldhillmuseum.org.uk/,Charity & Trusts,Museum,Independent
Maldon District Agricultural & Domestic Museum,Goldhanger,47 Church Street,,,Maldon,Essex,CM9 8AR,England,,Charity & Trusts,Museum,Independent
Catalyst: Science Discovery Centre,Gossage Building,Mersey Road,,,Widnes,,WA8 0DF,England,,Charity & Trusts,Museum,Independent
"National Trust, Polesden Lacey",Great Bookham,,,,Nr Dorking,Surrey,RH5 6BD,England,http://www.nationaltrust.org.uk/main/w-vh/w-visits/w-findaplace/w-polesdenlacey/,Charity & Trusts,Museum,Independent
Holburne Museum of Art,Great Pulteney Street,,,,Bath,Somerset,BA2 4DB,England,www.bath.ac.uk/holburne,University,Museum,Independent
SS Great Britain,Great Western Dock,Gas Ferry Road,,,Bristol,,BS1 6TY,England,www.ssgreatbritain.org,Charity & Trusts,Museum,Independent
Kew Bridge Steam Museum,Green Dragon Lane,,,,Hounslow,Middlesex,TW8 0EN,England,,Charity & Trusts,Museum,Independent
Orford Museum,Green Lane House,Castle Green,,,Orford,Suffolk,IP12 2NF,England,,Charity & Trusts,Museum,Independent
"National Trust, Lower Brockhampton",Greenfields,,,,Bringsty,Worcestershire,WR6 5TB,UK,www.nationaltrust.org.uk/main/w-brockhampton,Charity & Trusts,Museum,Independent
La Hougue Bie Museum,Grouville,,,,Jersey,,,Channel Islands,,Charity & Trusts,Museum,Independent
Court Barn Museum,Guild of Handicraft Trust,Court Barn,Church Street,,Chipping Campden,Gloucestershire,GL55 6JE,England,http://www.courtbarn.org.uk/,Charity & Trusts,Museum,Independent
Clockmakers' Museum,Guildhall,Aldermanbury,,,London,Greater London,EC1V 7HH,England,http://www.clockmakers.org/,Charity & Trusts,Museum,Independent
Museum of the Wagoners' Special Reserve,Hagg End,Farndale,,,York,,YO62 7XJ,,,Charity & Trusts,Museum,Independent
Yorkshire Air Museum,Halifax Way,Elvington,,,York,Yorkshire,YO41 4AU,England,www.yorkshireairmuseum.co.uk,Charity & Trusts,Museum,Independent
Danson House,Hall Place,Bourne Road,Bexley,,Kent,Kent,DA5 1PQ,UK,,Charity & Trusts,Museum,Independent
"National Trust, 2 Willow Road",Hampstead,,,,London,,NW3 1TH,England,,Charity & Trusts,Museum,Independent
Leatherhead Museum of Local History,Hampton Cottage,64 Church Road,,,Leatherhead,Surrey,KT2 8DP,England,http://www.leatherheadlocalhistory.org.uk/goto_museum.html,Charity & Trusts,Museum,Independent
Historic Royal Palaces,Hampton Court Palace,,,,Richmond upon Thames,,KT8 9AU,England,www.hrp.org.uk,Charity & Trusts,Museum,Independent
"National Trust, Nymans",Handcross,,,,Nr Haywards Heath,West Sussex,RH17 6EB,England,http://www.nationaltrust.org.uk/main/w-nymansgarden2,Charity & Trusts,Museum,Independent
Harewood House Trust,Harewood House,Harewood,,,Leeds,,LS17 9LG,,www.harewood.org,Charity & Trusts,Museum,Independent
Harvard House & the Museum of British Pewter,Harvard House,High Street,,,Stratford-upon-Avon,Warwickshire,CV37 6AU,England,www.shakespeare.org.uk,Charity & Trusts,Museum,Independent
Royal Navy Submarine Museum,Haslar Jetty Road,,,,Gosport,Hampshire,PO12 2AS,England,http://www.rnsubmus.co.uk/,Charity & Trusts,Museum,Independent
Eyam Museum,Hawkhill,,,,Hope Valley,Derbyshire,S32 5QP,England,,Charity & Trusts,Museum,Independent
Ken Hawley Collection,Hawley Building,Pitt Street,Off Mappin Street,,Sheffield,Yorkshire,S1 3HY,England,http://www.shef.ac.uk/hawley/trust.html,Charity & Trusts,Museum,Independent
Lashenden Air Warfare Museum,Headcorn Aerodrome,Shenley Road,Headcorn,,Ashford,Kent,TN27 9HX,England,lashendenairwarfremuseum.giving.officelive.com/default.aspx,Charity & Trusts,Museum,Independent
Imperial War Museum,Headquarters,Lambeth Road,,,London,,SE1 6HZ,England,www.iwm.org.uk/,Charity & Trusts,Museum,Independent
Fakenham Museum of Gas & Local History,Hempton Road,,,,Fakenham,Norfolk,NR21 9EP,England,,Charity & Trusts,Museum,Independent
British in India Museum,Hendon Mill,Hallam Road,,,Nelson,Lancashire,BB9 8AD,England,,Charity & Trusts,Museum,Independent
Shakespeare's Birthplace and The Shakespeare Centre,Henley Street,,,,Stratford-upon-Avon,Warwickshire,CV37 6QW,UK,www.shakespeare.org.uk,Charity & Trusts,Museum,Independent
Coventry Heritage & Arts Trust Ltd,Herbert Art Gallery & Museum,Jordan Well,,,Coventry,West Midlands,CV1 5QP,England,http://www.theherbert.org,Charity & Trusts,Museum,Independent
British Motor Industry Heritage Trust,Heritage Motor Centre,Banbury Road,,,Gaydon,Warwickshire,CV35 0BJ,England,www.heritage-motor-centre.co.uk,Charity & Trusts,Museum,Independent
Forge Museum,Herts Building Preservation Trust,The Forge,High Street,,Much Hadham,Hertfordshire,SG10 6BS,England,www.hertfordshirebpt.org,Charity & Trusts,Museum,Independent
Kent & Sharpshooters Yeomanry Museum,Hever Castle,,,,Edenbridge,Kent,TN8 7DB,England,,Charity & Trusts,Museum,Independent
Galleries of Justice,High Pavement,The Lace Market,,,Nottingham,Nottinghamshire,NG1 1HN,England,www.galleriesofjustice.org.uk,Charity & Trusts,Museum,Independent
Alderney Society Museum,High Street,St Anne,,,Alderney,,GY9 3TG,England,www.alderneysociety.org/,Charity & Trusts,Museum,Independent
Alexander Keiller Museum,High Street,,,,Avebury,Wiltshire,SN8 1RF,England,http://www.english-heritage.org.uk/server/show/nav.16322,Charity & Trusts,Museum,Independent
Allhallows Museum,High Street,,,,Honiton,Devon,EX14 1PG,England,www.honitonlace.com,Charity & Trusts,Museum,Independent
Marlipins Museum,High Street,,,,Shoreham-by-Sea,West Sussex,BN4 5NN,England,,Charity & Trusts,Museum,Independent
Mersea Island Museum,High Street,West Mersea,,,Colchester,Essex,CO5 8QD,England,,Charity & Trusts,Museum,Independent
New Forest Museum &  Library,High Street,,,,Lyndhurst,Hampshire,SO43 7NY,England,,Charity & Trusts,Museum,Independent
Saddleworth Museum & Art Gallery,High Street,,,,Uppermill,Greater Manchester,OL3 6HS,England,,Charity & Trusts,Museum,Independent
Dorset County Museum,High West Street,,,,Dorchester,Dorset,DT1 1XA,England,www.dorsetcountymuseum.org,Charity & Trusts,Museum,Independent
Astley Green Colliery Museum,Higher Green Lane,Astley,Tyldesley,,Manchester,Greater Manchester,M29 7JB,England,www.agcm.org.uk,Charity & Trusts,Museum,Independent
British Schools Museum,Hitchin British Schools Trust,41/42 Queen Street,,,Hitchin,Hertfordshire,SG4 9TS,England,,Charity & Trusts,Museum,Independent
Royal Naval Museum,HM Naval Base PP6,,,,Portsmouth,Hampshire,PO1 3NH,England,www.royalnavalmuseum.org,Charity & Trusts,Museum,Independent
Hallaton Museum,Hog Lane,Hallaton,,,Market Harborough,Leicestershire,LE16 8UE,England,http://www.leicestershirevillages.com/hallaton/hallatonmuseum.html,Charity & Trusts,Museum,Independent
Hoghton Tower Preservation Trust,Hoghton,,,,Preston,Lancashire,PR5 0SH,England,,Charity & Trusts,Museum,Independent
Helmshore Mills Textile Museum,Holcombe Road,Helmstone,,,Rossendale,Lancashire,BB4 4NP,England,http://www.lancashire.gov.uk/acs/sites/museums/venues/helmshore/index.asp?siteid=3783&pageid=13002&e=e,Charity & Trusts,Museum,Independent
